return_id,order_id,seller_id,return_date,return_reason
RET-0000069,ORD-0000631,MNT-0002,2024-03-28,changed mind
RET-0000070,ORD-0000632,MNT-0002,2024-04-02,size issue
RET-0000071,ORD-0000633,MNT-0002,2024-03-08,wrong item
RET-0000072,ORD-0000636,MNT-0002,2024-03-12,size issue
RET-0000073,ORD-0000647,MNT-0002,2024-04-08,size issue
RET-0000074,ORD-0000658,MNT-0002,2024-04-22,changed mind
RET-0000075,ORD-0000670,MNT-0002,2024-04-10,size issue
RET-0000076,ORD-0000678,MNT-0002,2024-04-28,quality issue
RET-0000077,ORD-0000690,MNT-0002,2024-05-28,size issue
RET-0000078,ORD-0000698,MNT-0002,2024-07-10,size issue
RET-0000079,ORD-0000702,MNT-0002,2024-07-10,size issue
RET-0000080,ORD-0000713,MNT-0002,2024-06-27,quality issue
RET-0000081,ORD-0000719,MNT-0002,2024-07-04,size issue
RET-0000082,ORD-0000720,MNT-0002,2024-06-10,size issue
RET-0000083,ORD-0000723,MNT-0002,2024-06-19,size issue
RET-0000084,ORD-0000734,MNT-0003,2023-07-21,changed mind
RET-0000085,ORD-0000735,MNT-0003,2023-08-01,size issue
RET-0000086,ORD-0000739,MNT-0003,2023-07-04,quality issue
RET-0000087,ORD-0000759,MNT-0003,2023-08-29,changed mind
RET-0000088,ORD-0000767,MNT-0003,2023-08-11,quality issue
RET-0000089,ORD-0000769,MNT-0003,2023-08-17,changed mind
RET-0000090,ORD-0000773,MNT-0003,2023-09-02,changed mind
RET-0000091,ORD-0000774,MNT-0003,2023-08-21,size issue
RET-0000092,ORD-0000777,MNT-0003,2023-09-05,size issue
RET-0000093,ORD-0000778,MNT-0003,2023-09-03,quality issue
RET-0000094,ORD-0000784,MNT-0003,2023-09-19,changed mind
RET-0000095,ORD-0000786,MNT-0003,2023-09-24,quality issue
RET-0000096,ORD-0000789,MNT-0003,2023-09-14,quality issue
RET-0000097,ORD-0000801,MNT-0003,2023-10-07,size issue
RET-0000098,ORD-0000803,MNT-0003,2023-09-10,changed mind
RET-0000099,ORD-0000805,MNT-0003,2023-10-08,size issue
RET-0000100,ORD-0000809,MNT-0003,2023-10-03,wrong item
RET-0000101,ORD-0000812,MNT-0003,2023-09-08,wrong item
RET-0000102,ORD-0000818,MNT-0003,2023-11-03,wrong item
RET-0000103,ORD-0000836,MNT-0003,2023-10-19,size issue
RET-0000104,ORD-0000846,MNT-0003,2023-10-27,damaged
RET-0000105,ORD-0000849,MNT-0003,2023-11-05,size issue
RET-0000106,ORD-0000851,MNT-0003,2023-10-12,size issue
RET-0000107,ORD-0000863,MNT-0003,2023-10-19,changed mind
RET-0000108,ORD-0000874,MNT-0003,2023-11-18,size issue
RET-0000109,ORD-0000875,MNT-0003,2023-11-21,damaged
RET-0000110,ORD-0000877,MNT-0003,2023-11-27,size issue
RET-0000111,ORD-0000880,MNT-0003,2023-11-26,size issue
RET-0000112,ORD-0000888,MNT-0003,2023-12-06,changed mind
RET-0000113,ORD-0000889,MNT-0003,2023-12-07,damaged
RET-0000114,ORD-0000913,MNT-0003,2023-12-12,quality issue
RET-0000115,ORD-0000925,MNT-0003,2023-12-27,size issue
RET-0000116,ORD-0000926,MNT-0003,2023-12-11,quality issue
RET-0000117,ORD-0000928,MNT-0003,2023-12-26,damaged
RET-0000118,ORD-0000937,MNT-0003,2023-12-21,size issue
RET-0000119,ORD-0000941,MNT-0003,2024-01-15,size issue
RET-0000120,ORD-0000944,MNT-0003,2024-01-12,size issue
RET-0000121,ORD-0000945,MNT-0003,2024-01-12,quality issue
RET-0000122,ORD-0000949,MNT-0003,2024-01-08,changed mind
RET-0000123,ORD-0000954,MNT-0003,2024-02-07,wrong item
RET-0000124,ORD-0000962,MNT-0003,2024-03-05,size issue
RET-0000125,ORD-0000966,MNT-0003,2024-03-06,damaged
RET-0000126,ORD-0000968,MNT-0003,2024-03-10,changed mind
RET-0000127,ORD-0000981,MNT-0004,2023-01-17,changed mind
RET-0000128,ORD-0000986,MNT-0004,2023-01-14,size issue
RET-0000129,ORD-0000992,MNT-0004,2023-01-11,size issue
RET-0000130,ORD-0000993,MNT-0004,2023-01-23,size issue
RET-0000131,ORD-0000997,MNT-0004,2023-02-01,size issue
RET-0000132,ORD-0001019,MNT-0004,2023-02-13,quality issue
RET-0000133,ORD-0001020,MNT-0004,2023-02-27,size issue
RET-0000134,ORD-0001022,MNT-0004,2023-02-25,size issue
RET-0000135,ORD-0001044,MNT-0004,2023-03-12,size issue
RET-0000136,ORD-0001047,MNT-0004,2023-03-30,size issue
RET-0000137,ORD-0001057,MNT-0004,2023-03-26,changed mind
RET-0000138,ORD-0001061,MNT-0004,2023-04-17,changed mind
RET-0000139,ORD-0001067,MNT-0004,2023-04-07,changed mind
RET-0000140,ORD-0001068,MNT-0004,2023-05-08,size issue
RET-0000141,ORD-0001074,MNT-0004,2023-04-07,quality issue
RET-0000142,ORD-0001079,MNT-0004,2023-04-12,size issue
RET-0000143,ORD-0001080,MNT-0004,2023-04-11,size issue
RET-0000144,ORD-0001081,MNT-0004,2023-04-27,damaged
RET-0000145,ORD-0001102,MNT-0004,2023-05-22,wrong item
RET-0000146,ORD-0001107,MNT-0004,2023-06-05,quality issue
RET-0000147,ORD-0001113,MNT-0004,2023-06-04,changed mind
RET-0000148,ORD-0001115,MNT-0004,2023-06-22,size issue
RET-0000149,ORD-0001124,MNT-0004,2023-06-08,wrong item
RET-0000150,ORD-0001133,MNT-0004,2023-06-13,size issue
RET-0000151,ORD-0001151,MNT-0004,2023-07-31,size issue
RET-0000152,ORD-0001153,MNT-0004,2023-07-25,size issue
RET-0000153,ORD-0001163,MNT-0004,2023-08-06,changed mind
RET-0000154,ORD-0001173,MNT-0004,2023-07-08,size issue
RET-0000155,ORD-0001174,MNT-0004,2023-08-11,quality issue
RET-0000156,ORD-0001175,MNT-0004,2023-08-04,size issue
RET-0000157,ORD-0001176,MNT-0004,2023-07-09,size issue
RET-0000158,ORD-0001178,MNT-0004,2023-08-24,quality issue
RET-0000159,ORD-0001191,MNT-0004,2023-08-20,size issue
RET-0000160,ORD-0001198,MNT-0004,2023-09-02,changed mind
RET-0000161,ORD-0001202,MNT-0004,2023-08-12,size issue
RET-0000162,ORD-0001206,MNT-0004,2023-09-05,damaged
RET-0000163,ORD-0001209,MNT-0004,2023-10-02,damaged
RET-0000164,ORD-0001212,MNT-0004,2023-10-08,size issue
RET-0000165,ORD-0001218,MNT-0004,2023-09-19,size issue
RET-0000166,ORD-0001221,MNT-0004,2023-09-19,quality issue
RET-0000167,ORD-0001229,MNT-0004,2023-10-04,size issue
RET-0000168,ORD-0001236,MNT-0004,2023-09-26,size issue
RET-0000169,ORD-0001239,MNT-0004,2023-09-10,changed mind
RET-0000170,ORD-0001245,MNT-0004,2023-09-25,wrong item
RET-0000171,ORD-0001262,MNT-0004,2023-10-19,changed mind
RET-0000172,ORD-0001263,MNT-0004,2023-10-18,changed mind
RET-0000173,ORD-0001266,MNT-0004,2023-10-14,changed mind
RET-0000174,ORD-0001267,MNT-0004,2023-10-10,damaged
RET-0000175,ORD-0001269,MNT-0004,2023-10-31,quality issue
RET-0000176,ORD-0001270,MNT-0004,2023-10-08,damaged
RET-0000177,ORD-0001281,MNT-0004,2023-10-30,damaged
RET-0000178,ORD-0001294,MNT-0004,2023-11-24,size issue
RET-0000179,ORD-0001300,MNT-0004,2023-11-28,wrong item
RET-0000180,ORD-0001307,MNT-0004,2023-12-03,size issue
RET-0000181,ORD-0001308,MNT-0004,2023-12-09,size issue
RET-0000182,ORD-0001311,MNT-0004,2023-11-21,damaged
RET-0000183,ORD-0001319,MNT-0004,2023-11-09,size issue
RET-0000184,ORD-0001321,MNT-0004,2023-12-06,changed mind
RET-0000185,ORD-0001331,MNT-0004,2023-11-20,damaged
RET-0000186,ORD-0001333,MNT-0004,2023-12-12,wrong item
RET-0000187,ORD-0001334,MNT-0004,2023-11-27,size issue
RET-0000188,ORD-0001339,MNT-0004,2023-12-21,size issue
RET-0000189,ORD-0001362,MNT-0004,2023-12-09,changed mind
RET-0000190,ORD-0001363,MNT-0004,2023-12-29,wrong item
RET-0000191,ORD-0001375,MNT-0004,2024-01-09,changed mind
RET-0000192,ORD-0001377,MNT-0004,2024-02-10,size issue
RET-0000193,ORD-0001383,MNT-0004,2024-01-25,changed mind
RET-0000194,ORD-0001391,MNT-0004,2024-01-23,damaged
RET-0000195,ORD-0001392,MNT-0004,2024-01-19,wrong item
RET-0000196,ORD-0001396,MNT-0004,2024-03-03,size issue
RET-0000197,ORD-0001398,MNT-0004,2024-02-24,damaged
RET-0000198,ORD-0001400,MNT-0004,2024-03-07,size issue
RET-0000199,ORD-0001408,MNT-0004,2024-02-19,size issue
RET-0000200,ORD-0001415,MNT-0004,2024-03-19,size issue
RET-0000201,ORD-0001419,MNT-0004,2024-03-14,size issue
RET-0000202,ORD-0001430,MNT-0004,2024-04-20,changed mind
RET-0000203,ORD-0001440,MNT-0004,2024-05-04,size issue
RET-0000204,ORD-0001442,MNT-0004,2024-04-22,size issue
RET-0000205,ORD-0001445,MNT-0004,2024-05-08,size issue
RET-0000206,ORD-0001447,MNT-0004,2024-04-19,size issue
RET-0000207,ORD-0001452,MNT-0004,2024-04-23,wrong item
RET-0000208,ORD-0001458,MNT-0004,2024-05-15,changed mind
RET-0000209,ORD-0001460,MNT-0004,2024-05-20,damaged
RET-0000210,ORD-0001472,MNT-0004,2024-05-24,size issue
RET-0000211,ORD-0001476,MNT-0004,2024-05-26,size issue
RET-0000212,ORD-0001477,MNT-0004,2024-05-25,quality issue
RET-0000213,ORD-0001485,MNT-0004,2024-06-22,wrong item
RET-0000214,ORD-0001490,MNT-0004,2024-06-14,changed mind
RET-0000215,ORD-0001504,MNT-0004,2024-06-14,size issue
RET-0000216,ORD-0001507,MNT-0004,2024-06-12,size issue
RET-0000217,ORD-0001509,MNT-0004,2024-07-05,quality issue
RET-0000218,ORD-0001512,MNT-0004,2024-06-14,damaged
RET-0000219,ORD-0001515,MNT-0004,2024-06-17,size issue
RET-0000220,ORD-0001520,MNT-0004,2024-06-24,size issue
RET-0000221,ORD-0001533,MNT-0005,2023-01-10,damaged
RET-0000222,ORD-0001546,MNT-0005,2023-01-12,changed mind
RET-0000223,ORD-0001548,MNT-0005,2023-01-27,damaged
RET-0000224,ORD-0001549,MNT-0005,2023-02-22,size issue
RET-0000225,ORD-0001556,MNT-0005,2023-02-17,size issue
RET-0000226,ORD-0001559,MNT-0005,2023-02-19,wrong item
RET-0000227,ORD-0001560,MNT-0005,2023-03-08,wrong item
RET-0000228,ORD-0001564,MNT-0005,2023-02-16,changed mind
RET-0000229,ORD-0001586,MNT-0005,2023-05-01,size issue
RET-0000230,ORD-0001588,MNT-0005,2023-04-11,size issue
RET-0000231,ORD-0001591,MNT-0005,2023-04-22,size issue
RET-0000232,ORD-0001599,MNT-0005,2023-05-11,quality issue
RET-0000233,ORD-0001600,MNT-0005,2023-05-19,quality issue
RET-0000234,ORD-0001602,MNT-0005,2023-05-17,size issue
RET-0000235,ORD-0001603,MNT-0005,2023-05-27,quality issue
RET-0000236,ORD-0001607,MNT-0005,2023-06-05,wrong item
RET-0000237,ORD-0001612,MNT-0005,2023-05-09,size issue
RET-0000238,ORD-0001616,MNT-0005,2023-05-18,size issue
RET-0000239,ORD-0001621,MNT-0005,2023-05-27,size issue
RET-0000240,ORD-0001626,MNT-0005,2023-05-28,size issue
RET-0000241,ORD-0001628,MNT-0005,2023-06-10,quality issue
RET-0000242,ORD-0001629,MNT-0005,2023-06-20,size issue
RET-0000243,ORD-0001632,MNT-0005,2023-06-17,changed mind
RET-0000244,ORD-0001635,MNT-0005,2023-06-13,quality issue
RET-0000245,ORD-0001638,MNT-0005,2023-07-05,wrong item
RET-0000246,ORD-0001644,MNT-0005,2023-07-08,changed mind
RET-0000247,ORD-0001651,MNT-0005,2023-07-01,quality issue
RET-0000248,ORD-0001653,MNT-0005,2023-06-23,quality issue
RET-0000249,ORD-0001656,MNT-0005,2023-06-08,size issue
RET-0000250,ORD-0001661,MNT-0005,2023-06-21,size issue
RET-0000251,ORD-0001669,MNT-0005,2023-07-08,size issue
RET-0000252,ORD-0001671,MNT-0005,2023-07-22,quality issue
RET-0000253,ORD-0001674,MNT-0005,2023-08-05,wrong item
RET-0000254,ORD-0001680,MNT-0005,2023-07-15,quality issue
RET-0000255,ORD-0001681,MNT-0005,2023-07-18,size issue
RET-0000256,ORD-0001686,MNT-0005,2023-08-13,size issue
RET-0000257,ORD-0001687,MNT-0005,2023-09-07,quality issue
RET-0000258,ORD-0001704,MNT-0005,2023-08-09,damaged
RET-0000259,ORD-0001705,MNT-0005,2023-08-27,quality issue
RET-0000260,ORD-0001713,MNT-0005,2023-09-18,damaged
RET-0000261,ORD-0001716,MNT-0005,2023-09-10,changed mind
RET-0000262,ORD-0001727,MNT-0005,2023-09-29,changed mind
RET-0000263,ORD-0001729,MNT-0005,2023-09-23,quality issue
RET-0000264,ORD-0001730,MNT-0005,2023-09-26,size issue
RET-0000265,ORD-0001733,MNT-0005,2023-09-17,damaged
RET-0000266,ORD-0001739,MNT-0005,2023-09-18,changed mind
RET-0000267,ORD-0001743,MNT-0005,2023-09-20,wrong item
RET-0000268,ORD-0001754,MNT-0005,2023-10-10,size issue
RET-0000269,ORD-0001766,MNT-0005,2023-10-28,size issue
RET-0000270,ORD-0001768,MNT-0005,2023-10-19,quality issue
RET-0000271,ORD-0001770,MNT-0005,2023-10-25,changed mind
RET-0000272,ORD-0001789,MNT-0005,2023-12-06,size issue
RET-0000273,ORD-0001794,MNT-0005,2023-11-10,size issue
RET-0000274,ORD-0001802,MNT-0005,2023-11-26,wrong item
RET-0000275,ORD-0001803,MNT-0005,2023-11-14,size issue
RET-0000276,ORD-0001805,MNT-0005,2023-11-28,changed mind
RET-0000277,ORD-0001806,MNT-0005,2023-11-13,wrong item
RET-0000278,ORD-0001812,MNT-0005,2023-11-11,size issue
RET-0000279,ORD-0001813,MNT-0005,2023-11-26,changed mind
RET-0000280,ORD-0001816,MNT-0005,2023-12-02,changed mind
RET-0000281,ORD-0001817,MNT-0005,2023-11-17,size issue
RET-0000282,ORD-0001818,MNT-0005,2023-12-09,damaged
RET-0000283,ORD-0001823,MNT-0005,2023-12-02,changed mind
RET-0000284,ORD-0001826,MNT-0005,2023-11-16,quality issue
RET-0000285,ORD-0001829,MNT-0005,2023-11-13,size issue
RET-0000286,ORD-0001831,MNT-0005,2023-12-08,size issue
RET-0000287,ORD-0001833,MNT-0005,2023-11-13,size issue
RET-0000288,ORD-0001836,MNT-0005,2024-01-03,size issue
RET-0000289,ORD-0001837,MNT-0005,2023-12-30,damaged
RET-0000290,ORD-0001854,MNT-0005,2023-12-12,damaged
RET-0000291,ORD-0001862,MNT-0005,2024-01-07,size issue
RET-0000292,ORD-0001867,MNT-0005,2024-01-30,changed mind
RET-0000293,ORD-0001868,MNT-0005,2024-01-11,damaged
RET-0000294,ORD-0001872,MNT-0005,2024-01-27,damaged
RET-0000295,ORD-0001873,MNT-0005,2024-01-16,quality issue
RET-0000296,ORD-0001876,MNT-0005,2024-01-25,wrong item
RET-0000297,ORD-0001881,MNT-0005,2024-01-08,size issue
RET-0000298,ORD-0001884,MNT-0005,2024-01-25,size issue
RET-0000299,ORD-0001889,MNT-0005,2024-03-06,quality issue
RET-0000300,ORD-0001890,MNT-0005,2024-03-03,quality issue
RET-0000301,ORD-0001896,MNT-0005,2024-02-29,changed mind
RET-0000302,ORD-0001898,MNT-0005,2024-02-26,damaged
RET-0000303,ORD-0001904,MNT-0005,2024-03-25,changed mind
RET-0000304,ORD-0001907,MNT-0005,2024-03-13,quality issue
RET-0000305,ORD-0001908,MNT-0005,2024-03-12,size issue
RET-0000306,ORD-0001909,MNT-0005,2024-03-19,damaged
RET-0000307,ORD-0001910,MNT-0005,2024-04-05,wrong item
RET-0000308,ORD-0001911,MNT-0005,2024-04-07,quality issue
RET-0000309,ORD-0001917,MNT-0005,2024-03-12,size issue
RET-0000310,ORD-0001920,MNT-0005,2024-04-02,size issue
RET-0000311,ORD-0001923,MNT-0005,2024-03-25,size issue
RET-0000312,ORD-0001926,MNT-0005,2024-04-24,size issue
RET-0000313,ORD-0001931,MNT-0005,2024-04-29,changed mind
RET-0000314,ORD-0001932,MNT-0005,2024-04-28,size issue
RET-0000315,ORD-0001938,MNT-0005,2024-04-09,quality issue
RET-0000316,ORD-0001941,MNT-0005,2024-05-14,size issue
RET-0000317,ORD-0001942,MNT-0005,2024-05-30,changed mind
RET-0000318,ORD-0001943,MNT-0005,2024-06-05,size issue
RET-0000319,ORD-0001947,MNT-0005,2024-05-14,changed mind
RET-0000320,ORD-0001948,MNT-0005,2024-05-17,quality issue
RET-0000321,ORD-0001951,MNT-0005,2024-05-27,quality issue
RET-0000322,ORD-0001952,MNT-0005,2024-05-22,size issue
RET-0000323,ORD-0001970,MNT-0005,2024-07-07,size issue
RET-0000324,ORD-0001972,MNT-0005,2024-06-22,size issue
RET-0000325,ORD-0001975,MNT-0005,2024-06-27,size issue
RET-0000326,ORD-0001979,MNT-0005,2024-06-27,quality issue
RET-0000327,ORD-0001984,MNT-0005,2024-06-18,size issue
RET-0000328,ORD-0001992,MNT-0005,2024-06-24,size issue
RET-0000329,ORD-0001994,MNT-0005,2024-07-02,changed mind
RET-0000330,ORD-0001995,MNT-0005,2024-06-14,size issue
RET-0000331,ORD-0001997,MNT-0006,2023-01-20,size issue
RET-0000332,ORD-0002004,MNT-0006,2023-01-09,quality issue
RET-0000333,ORD-0002013,MNT-0006,2023-01-10,size issue
RET-0000334,ORD-0002014,MNT-0006,2023-01-10,size issue
RET-0000335,ORD-0002016,MNT-0006,2023-01-14,damaged
RET-0000336,ORD-0002030,MNT-0006,2023-01-28,size issue
RET-0000337,ORD-0002048,MNT-0006,2023-01-31,size issue
RET-0000338,ORD-0002056,MNT-0006,2023-03-01,size issue
RET-0000339,ORD-0002061,MNT-0006,2023-02-21,size issue
RET-0000340,ORD-0002062,MNT-0006,2023-02-12,size issue
RET-0000341,ORD-0002073,MNT-0006,2023-02-12,size issue
RET-0000342,ORD-0002087,MNT-0006,2023-03-13,quality issue
RET-0000343,ORD-0002091,MNT-0006,2023-03-29,quality issue
RET-0000344,ORD-0002101,MNT-0006,2023-03-29,changed mind
RET-0000345,ORD-0002109,MNT-0006,2023-04-11,quality issue
RET-0000346,ORD-0002119,MNT-0006,2023-04-24,quality issue
RET-0000347,ORD-0002128,MNT-0006,2023-04-15,size issue
RET-0000348,ORD-0002130,MNT-0006,2023-05-05,changed mind
RET-0000349,ORD-0002132,MNT-0006,2023-05-04,size issue
RET-0000350,ORD-0002139,MNT-0006,2023-04-21,quality issue
RET-0000351,ORD-0002140,MNT-0006,2023-05-06,size issue
RET-0000352,ORD-0002145,MNT-0006,2023-05-19,wrong item
RET-0000353,ORD-0002163,MNT-0006,2023-06-28,changed mind
RET-0000354,ORD-0002166,MNT-0006,2023-06-11,changed mind
RET-0000355,ORD-0002167,MNT-0006,2023-07-08,size issue
RET-0000356,ORD-0002169,MNT-0006,2023-07-01,changed mind
RET-0000357,ORD-0002179,MNT-0006,2023-06-26,damaged
RET-0000358,ORD-0002212,MNT-0006,2023-07-31,size issue
RET-0000359,ORD-0002216,MNT-0006,2023-07-20,changed mind
RET-0000360,ORD-0002218,MNT-0006,2023-07-29,size issue
RET-0000361,ORD-0002227,MNT-0006,2023-07-22,changed mind
RET-0000362,ORD-0002230,MNT-0006,2023-07-06,quality issue
RET-0000363,ORD-0002233,MNT-0006,2023-08-02,size issue
RET-0000364,ORD-0002235,MNT-0006,2023-08-14,size issue
RET-0000365,ORD-0002249,MNT-0006,2023-08-27,size issue
RET-0000366,ORD-0002250,MNT-0006,2023-08-11,size issue
RET-0000367,ORD-0002256,MNT-0006,2023-08-19,wrong item
RET-0000368,ORD-0002257,MNT-0006,2023-08-25,wrong item
RET-0000369,ORD-0002273,MNT-0006,2023-09-19,wrong item
RET-0000370,ORD-0002285,MNT-0006,2023-09-16,size issue
RET-0000371,ORD-0002288,MNT-0006,2023-09-10,changed mind
RET-0000372,ORD-0002291,MNT-0006,2023-09-12,wrong item
RET-0000373,ORD-0002305,MNT-0006,2023-09-13,wrong item
RET-0000374,ORD-0002312,MNT-0006,2023-10-28,size issue
RET-0000375,ORD-0002317,MNT-0006,2023-11-05,changed mind
RET-0000376,ORD-0002318,MNT-0006,2023-11-02,size issue
RET-0000377,ORD-0002326,MNT-0006,2023-10-14,size issue
RET-0000378,ORD-0002328,MNT-0006,2023-10-30,size issue
RET-0000379,ORD-0002374,MNT-0006,2023-11-18,wrong item
RET-0000380,ORD-0002375,MNT-0006,2023-11-20,changed mind
RET-0000381,ORD-0002385,MNT-0006,2023-11-13,wrong item
RET-0000382,ORD-0002403,MNT-0006,2023-11-30,quality issue
RET-0000383,ORD-0002417,MNT-0006,2023-12-12,size issue
RET-0000384,ORD-0002426,MNT-0006,2023-12-16,size issue
RET-0000385,ORD-0002430,MNT-0006,2024-01-08,quality issue
RET-0000386,ORD-0002431,MNT-0006,2023-12-20,changed mind
RET-0000387,ORD-0002432,MNT-0006,2023-12-26,quality issue
RET-0000388,ORD-0002448,MNT-0006,2023-12-25,wrong item
RET-0000389,ORD-0002455,MNT-0006,2023-12-09,changed mind
RET-0000390,ORD-0002463,MNT-0006,2024-02-04,size issue
RET-0000391,ORD-0002468,MNT-0006,2024-02-07,damaged
RET-0000392,ORD-0002477,MNT-0006,2024-02-06,size issue
RET-0000393,ORD-0002484,MNT-0006,2024-02-04,wrong item
RET-0000394,ORD-0002485,MNT-0006,2024-02-11,size issue
RET-0000395,ORD-0002495,MNT-0006,2024-03-05,wrong item
RET-0000396,ORD-0002497,MNT-0006,2024-03-02,damaged
RET-0000397,ORD-0002501,MNT-0006,2024-03-05,quality issue
RET-0000398,ORD-0002510,MNT-0006,2024-02-15,changed mind
RET-0000399,ORD-0002511,MNT-0006,2024-02-28,size issue
RET-0000400,ORD-0002514,MNT-0006,2024-02-05,size issue
RET-0000401,ORD-0002515,MNT-0006,2024-03-03,damaged
RET-0000402,ORD-0002528,MNT-0006,2024-04-02,size issue
RET-0000403,ORD-0002530,MNT-0006,2024-03-31,quality issue
RET-0000404,ORD-0002554,MNT-0007,2023-01-30,changed mind
RET-0000405,ORD-0002557,MNT-0007,2023-01-23,wrong item
RET-0000406,ORD-0002559,MNT-0007,2023-01-28,size issue
RET-0000407,ORD-0002562,MNT-0007,2023-01-17,size issue
RET-0000408,ORD-0002563,MNT-0007,2023-02-06,size issue
RET-0000409,ORD-0002565,MNT-0007,2023-01-22,quality issue
RET-0000410,ORD-0002570,MNT-0007,2023-01-27,changed mind
RET-0000411,ORD-0002574,MNT-0007,2023-02-01,wrong item
RET-0000412,ORD-0002579,MNT-0007,2023-02-25,size issue
RET-0000413,ORD-0002582,MNT-0007,2023-02-10,quality issue
RET-0000414,ORD-0002584,MNT-0007,2023-02-10,size issue
RET-0000415,ORD-0002595,MNT-0007,2023-02-16,size issue
RET-0000416,ORD-0002601,MNT-0007,2023-03-15,size issue
RET-0000417,ORD-0002602,MNT-0007,2023-03-28,wrong item
